,lat,lon
0,34.37,127.3
1,35.72,128.99
2,37.41,129.51
3,35.07,125.06
4,35.29,126.59
5,41.3,129.21
6,41.27,129.24
7,41.28,129.26
8,41.29,129.23
9,34.0,127.59
10,41.25,129.28
11,41.24,129.22
12,36.39,127.13
13,37.31,129.54
14,39.42,126.19
15,33.7,125.06
16,35.69,129.35
17,36.54,128.08
18,36.45,129.62
19,36.82,129.47
20,34.75,127.26
21,35.22,128.6
22,37.26,126.1
23,38.85,125.78
24,38.98,127.29
25,33.34,127.22
26,38.12,130.98
27,35.89,129.7
28,35.9,129.73
29,37.02,128.98
30,33.31,127.45
31,33.14,127.65
32,33.14,127.66
33,33.12,127.64
34,33.11,127.66
35,33.13,127.66
36,33.64,128.11
37,36.29,126.87
38,35.79,129.2
39,36.8,126.25
40,38.45,125.63
41,38.44,125.63
42,35.39,128.24
43,38.44,125.62
44,33.14,127.67
45,37.41,124.53
46,38.8,125.95
47,34.75,124.3
48,36.47,129.62
49,37.17,125.42
50,35.11,125.07
51,36.39,129.89
52,38.95,127.29
53,36.46,129.63
54,40.57,126.71
55,35.69,124.59
56,36.94,127.13
57,41.3,129.13
58,41.29,129.21
59,36.88,127.88
60,36.88,127.88
61,36.88,127.87
62,36.88,127.88
63,36.88,127.88
64,35.47,124.9
65,36.97,126.38
66,33.3,127.78
67,35.07,125.07
68,35.52,124.35
69,33.96,125.22
70,41.29,129.22
71,38.43,125.63
72,36.17,128.27
73,35.77,129.8
74,41.3,129.22
75,35.14,125.08
76,36.51,128.65
